grid_id,latitude,longitude,seasons_analyzed,seasons_with_detected_onset,first_detected_onset_date,latest_detected_onset_date,false_onset_probability,crop_stress_probability,overall_risk_level,false_onset_interpretation,crop_stress_interpretation
G0,-17.375,32.625,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G1,-17.375,32.875,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G2,-17.375,33.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G3,-17.375,33.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G4,-17.375,33.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G5,-17.375,33.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G6,-17.375,34.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G7,-17.375,34.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G8,-17.375,34.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G9,-17.375,34.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G10,-17.375,35.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G11,-17.375,35.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G12,-17.375,35.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G13,-17.375,35.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G14,-17.125,32.625,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G15,-17.125,32.875,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G16,-17.125,33.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G17,-17.125,33.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G18,-17.125,33.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G19,-17.125,33.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G20,-17.125,34.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
